route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
5,73054,7228733,Ocean Beach,0,592,141039,
5,73053,7228471,Ocean Beach,0,592,141039,
5,73052,7310920,Ocean Beach,0,592,141039,
5,73053,7228666,Transbay Terminal,1,507,141045,
5,73054,7228928,Transbay Terminal,1,507,141045,
5,73053,7228668,Transbay Terminal,1,503,141045,
5,73054,7228930,Transbay Terminal,1,503,141045,
5,73053,7228670,Transbay Terminal,1,513,141045,
5,73054,7228932,Transbay Terminal,1,513,141045,
5,73053,7228672,Transbay Terminal,1,504,141045,
5,73054,7228934,Transbay Terminal,1,504,141045,
5,73053,7228674,Transbay Terminal,1,516,141045,
5,73054,7228936,Transbay Terminal,1,516,141045,
5,73053,7228676,Transbay Terminal,1,501,141045,
5,73054,7228938,Transbay Terminal,1,501,141045,
5,73054,7228818,Transbay Terminal,1,506,141045,
5,73053,7228556,Transbay Terminal,1,506,141045,
5,73053,7228677,Transbay Terminal,1,512,141045,
5,73054,7228939,Transbay Terminal,1,512,141045,
5,73054,7228829,Transbay Terminal,1,509,141045,
5,73053,7228567,Transbay Terminal,1,509,141045,
5,73052,7311193,Transbay Terminal,1,511,141045,
5,73052,7311192,Transbay Terminal,1,517,141045,
5,73053,7228585,Transbay Terminal,1,502,141045,
5,73054,7228847,Transbay Terminal,1,502,141045,
5,73052,7311316,Transbay Terminal,1,572,141994,
5,73052,7311323,Transbay Terminal,1,573,141994,
5,73052,7311324,Transbay Terminal,1,575,141994,
5,73052,7311325,Transbay Terminal,1,577,141994,
5,73052,7311326,Transbay Terminal,1,574,141994,
5,73052,7311327,Transbay Terminal,1,576,141994,
5,73052,7311328,Transbay Terminal,1,578,141994,
5,73052,7311329,Transbay Terminal,1,579,141994,
5,73052,7311330,Transbay Terminal,1,580,141994,
5,73052,7311331,Transbay Terminal,1,571,141994,
5,73052,7311332,Transbay Terminal,1,572,141994,
5,73052,7311333,Transbay Terminal,1,573,141994,
5,73052,7311334,Transbay Terminal,1,575,141994,
5,73052,7311335,Transbay Terminal,1,577,141994,
5,73052,7311336,Transbay Terminal,1,574,141994,
5,73052,7311337,Transbay Terminal,1,576,141994,
5,73052,7311338,Transbay Terminal,1,578,141994,
5,73052,7311339,Transbay Terminal,1,579,141994,
5,73052,7311340,Transbay Terminal,1,580,141994,
5,73052,7311341,Transbay Terminal,1,571,141994,
5,73052,7311342,Transbay Terminal,1,572,141994,
5,73052,7311343,Transbay Terminal,1,573,141994,
5,73052,7311344,Transbay Terminal,1,575,141994,
5,73052,7311345,Transbay Terminal,1,577,141994,
5,73052,7311346,Transbay Terminal,1,574,141994,
5,73052,7311347,Transbay Terminal,1,576,141994,
5,73052,7311348,Transbay Terminal,1,578,141994,
5,73052,7311349,Transbay Terminal,1,579,141994,
5,73052,7311350,Transbay Terminal,1,580,141994,
5,73052,7311351,Transbay Terminal,1,571,141994,
5,73052,7311352,Transbay Terminal,1,572,141994,
5,73052,7311353,Transbay Terminal,1,573,141994,
5,73052,7311354,Transbay Terminal,1,575,141994,
5,73052,7311355,Transbay Terminal,1,577,141994,
5,73052,7311356,Transbay Terminal,1,574,141994,
5,73052,7311357,Transbay Terminal,1,576,141994,
5,73052,7311358,Transbay Terminal,1,578,141994,
5,73052,7311359,Transbay Terminal,1,579,141994,
5,73052,7311360,Transbay Terminal,1,580,141994,
5,73052,7311361,Transbay Terminal,1,571,141994,
5,73052,7311362,Transbay Terminal,1,572,141994,
5,73052,7311363,Transbay Terminal,1,573,141994,
5,73052,7311364,Transbay Terminal,1,575,141994,
5,73052,7311365,Transbay Terminal,1,577,141994,
5,73052,7311366,Transbay Terminal,1,574,141994,
5,73052,7311367,Transbay Terminal,1,576,141994,
5,73052,7311368,Transbay Terminal,1,578,141994,
5,73052,7311369,Transbay Terminal,1,579,141994,
5,73052,7311370,Transbay Terminal,1,580,141994,
5,73052,7311371,Transbay Terminal,1,571,141994,
5,73052,7311372,Transbay Terminal,1,572,141994,
5,73052,7311373,Transbay Terminal,1,573,141994,
5,73052,7311374,Transbay Terminal,1,575,141994,
5,73052,7311375,Transbay Terminal,1,577,141994,
5,73052,7311376,Transbay Terminal,1,574,141994,
5,73052,7311377,Transbay Terminal,1,576,141994,
5,73052,7311378,Transbay Terminal,1,578,141994,
5,73052,7311379,Transbay Terminal,1,579,141994,
5,73052,7311380,Transbay Terminal,1,580,141994,
5,73052,7311381,Transbay Terminal,1,571,141994,
5,73052,7311382,Transbay Terminal,1,572,141994,
5,73052,7311383,Transbay Terminal,1,573,141994,
5,73052,7311384,Transbay Terminal,1,575,141994,
5,73052,7311394,Transbay Terminal,1,577,141994,
5,73052,7311385,Transbay Terminal,1,574,141994,
5,73052,7311386,Transbay Terminal,1,576,141994,
5,73052,7311387,Transbay Terminal,1,578,141994,
5,73052,7311388,Transbay Terminal,1,579,141994,
5,73052,7311389,Transbay Terminal,1,580,141994,
5,73052,7311390,Transbay Terminal,1,571,141994,
5,73052,7311391,Transbay Terminal,1,572,141994,
5,73052,7311392,Transbay Terminal,1,573,141994,
5,73052,7311393,Transbay Terminal,1,575,141994,
5,73052,7311317,Transbay Terminal,1,574,141994,
5,73052,7311178,Ocean Beach,0,501,141036,
5,73054,7228722,Ocean Beach,0,501,141036,
5,73053,7228460,Ocean Beach,0,501,141036,
5,73054,7228685,Ocean Beach,0,502,141036,
5,73052,7311179,Ocean Beach,0,503,141036,
5,73053,7228423,Ocean Beach,0,502,141036,
5,73052,7311180,Ocean Beach,0,504,141036,
5,73054,7228723,Ocean Beach,0,503,141036,
5,73053,7228461,Ocean Beach,0,503,141036,
5,73052,7310969,Ocean Beach,0,505,141036,
5,73052,7310968,Ocean Beach,0,506,141036,
5,73054,7228686,Ocean Beach,0,505,141036,
5,73053,7228424,Ocean Beach,0,505,141036,
5,73052,7310961,Ocean Beach,0,507,141036,
5,73052,7310966,Ocean Beach,0,508,141036,
5,73052,7310964,Ocean Beach,0,509,141036,
5,73054,7228805,Ocean Beach,0,506,141036,
5,73053,7228543,Ocean Beach,0,506,141036,
5,73052,7310965,Ocean Beach,0,510,141036,
5,73052,7310962,Ocean Beach,0,511,141036,
5,73053,7228544,Ocean Beach,0,507,141036,
5,73054,7228806,Ocean Beach,0,507,141036,
5,73052,7310957,Ocean Beach,0,515,141036,
5,73052,7310954,Ocean Beach,0,517,141036,
